loss,mape,val_loss,val_mape
0.010496449656784534,94936.15625,0.004621665459126234,108023.1171875
0.0043069347739219666,30178.216796875,0.005223231390118599,34731.27734375
0.003539576893672347,27426.326171875,0.004709279164671898,63544.23046875
0.0033578297588974237,18134.376953125,0.003175343619659543,97830.5
0.003252775873988867,19863.802734375,0.003191551426425576,177449.109375
0.0031753876246511936,30347.125,0.0030622456688433886,44527.9140625
0.0031197844073176384,24913.2421875,0.0027199452742934227,70080.1796875
0.003034226829186082,17242.8359375,0.003123102942481637,75192.359375
0.0030097891576588154,21519.494140625,0.0028300925623625517,126096.984375
0.0029793016146868467,26033.189453125,0.002953451592475176,141818.59375
0.0029297901783138514,35477.6484375,0.0027019320987164974,45370.60546875
0.0028845106717199087,25266.0625,0.0025836338754743338,73418.0
0.0028554568998515606,19453.41015625,0.002825237112119794,38641.28515625
0.0028486556839197874,19524.28125,0.0025423888582736254,52750.40625
0.0028148943092674017,17750.92578125,0.002976893214508891,30928.46484375
0.0027853550855070353,22256.7109375,0.0027597357984632254,85074.9921875
0.0027771098539233208,29781.83984375,0.002719651674851775,49078.9375
0.002763089258223772,20295.271484375,0.002691698493435979,96841.5234375
0.0027662033680826426,21936.240234375,0.0026023497339338064,96317.1328125
0.002766135847195983,23220.873046875,0.002582439687103033,49282.859375
0.002771602012217045,21029.8125,0.002586018992587924,48496.6015625
0.0027537033893167973,33320.73046875,0.0029581317212432623,69762.2890625
0.0027536959387362003,20993.716796875,0.0026180585846304893,86672.5625
0.0027495557442307472,25167.0234375,0.002476467052474618,54306.87890625
0.002724181395024061,24985.513671875,0.0026318852324038744,119068.7109375
0.0027435515075922012,22765.3359375,0.0027938189450651407,37799.61328125
0.002700480166822672,19174.96875,0.0029295729473233223,144829.375
0.0027023260481655598,25523.349609375,0.0026165295857936144,73646.9765625
0.0026973001658916473,24933.6875,0.002659059129655361,63193.34765625
0.002677302807569504,18107.60546875,0.0029083879198879004,46333.5078125
0.0026734929997473955,21743.97265625,0.0028322278521955013,49252.44921875
0.0026921348180621862,20272.869140625,0.0025979524943977594,60394.796875
0.0026724233757704496,20182.056640625,0.002490069018676877,108086.3984375
0.002676607808098197,26819.498046875,0.002483834745362401,66102.0859375
0.0026754504069685936,24349.990234375,0.0026386480312794447,70196.1796875
0.0026796029414981604,21725.1015625,0.0025019028689712286,36212.734375
0.002664014231413603,16981.955078125,0.0026156269013881683,28188.837890625
